"id","id","division_id","depto_id","asig_id","p15","p15_just"
158,456,6,23,LAB. HIDRAULICA BASICA,1,.
159,456,6,23,LAB. HIDRAULICA BASICA,1,.
160,457,6,23,LAB. HIDRAULICA DE CANALES,1,De acuerdo con el temario de la asignatura.
161,457,6,23,LAB. HIDRAULICA DE CANALES,1,De acuerdo con el temario de la asignatura.
162,457,6,23,LAB. HIDRAULICA DE CANALES,1,FORTALECE LA FORMACI�N DE INGENIEROS
163,457,6,23,LAB. HIDRAULICA DE CANALES,1,FORTALECE LA FORMACI�N DE INGENIEROS
164,457,6,23,LAB. HIDRAULICA DE CANALES,1,FORTALECE LA FORMACI�N DE INGENIEROS
165,457,6,23,LAB. HIDRAULICA DE CANALES,1,FORTALECE LA FORMACI�N DE INGENIEROS
166,457,6,23,LAB. HIDRAULICA DE CANALES,1,.
167,457,6,23,LAB. HIDRAULICA DE CANALES,1,.
168,457,6,23,LAB. HIDRAULICA DE CANALES,1,.
169,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,De acuerdo con el temario de la asignatura.
170,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,De acuerdo con el temario de la asignatura.
171,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,De acuerdo con el temario de la asignatura.
172,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,FORTALECE LA FORMACI�N DE INGENIEROS
173,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,.
174,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,.
175,458,6,23,LAB. HIDRAULICA DE MAQUINAS Y TRANSITORIOS,1,.
176,459,6,23,LAB. HIDRAULICA URBANA,1,De acuerdo con el temario de la asignatura.
177,459,6,23,LAB. HIDRAULICA URBANA,1,FORTALECE LA FORMACI�N DE INGENIEROS
178,459,6,23,LAB. HIDRAULICA URBANA,1,FORTALECE LA FORMACI�N DE INGENIEROS
179,382,6,19,ABASTECIMIENTO  DE AGUA POTABLE,1,NA
180,382,6,19,ABASTECIMIENTO  DE AGUA POTABLE,1,. 
181,382,6,19,ABASTECIMIENTO  DE AGUA POTABLE,1,. 
182,382,6,19,ABASTECIMIENTO  DE AGUA POTABLE,1,Los temas est�n completamente relacionados con la asignatura y los tiempos para verlos en clase son adecuados
183,382,6,19,ABASTECIMIENTO  DE AGUA POTABLE,1,Los temas est�n en el orden en el que se elaboran los proyecto de agua potable
184,385,6,19,INGENIERIA AMBIENTAL I,1,"""Se estudia: Impacto Ambiental, Ecolog�a, Salud Humana, Obras de Ingenier�a, Legislaci�n Ambiental, Desarrollo Sustentable"""
185,385,6,19,INGENIERIA AMBIENTAL I,1,Cumple con lo requerido.
186,385,6,19,INGENIERIA AMBIENTAL I,1,Los temas y subtemas del programa de estudio presentan pertinencia para el cumplimiento del objetivo.
187,385,6,19,INGENIERIA AMBIENTAL I,1,Los temas son necesarios y el tiempo deber�a ser suficiente
188,385,6,19,INGENIERIA AMBIENTAL I,1,"""Est� bien estructurado, el conocimiento es aditivo. """
189,385,6,19,INGENIERIA AMBIENTAL I,1,"""Porque cumple con lo establecido en los objetivos del curso, de forma general"""
190,387,6,19,TRATAMIENTO DE AGUAS RESIDUALES,1,Se adecuaron algunos temas 
191,387,6,19,TRATAMIENTO DE AGUAS RESIDUALES,2,"""Algunos temas los cambio de orden, por considerarlo m�s did�ctico."""
192,387,6,19,TRATAMIENTO DE AGUAS RESIDUALES,2,"""Algunos temas los cambio de orden, por considerarlo m�s did�ctico."""
193,387,6,19,TRATAMIENTO DE AGUAS RESIDUALES,1,El programa de la asignatura incluye los conocimientos que debe tener un ingeniero/a civil en PTAR
194,386,6,19,INGENIERIA AMBIENTAL II,1,Cumple con lo requerido.
195,386,6,19,INGENIERIA AMBIENTAL II,1,Los temas y subtemas del programa de estudio presentan pertinencia para el cumplimiento del objetivo.
196,383,6,19,ALCANTARILLADO SANITARIO Y PLUVIAL,2,NA
197,383,6,19,ALCANTARILLADO SANITARIO Y PLUVIAL,1,Los temas est�n acordes con los conocimientos que debe tener un Ing. Civil reci�n graduado 
198,383,6,19,ALCANTARILLADO SANITARIO Y PLUVIAL,1,Los temas est�n acordes con los conocimientos que debe tener un Ing. Civil reci�n graduado 
199,384,6,19,ENERGIA RENOVABLE EN EDIFICIOS,1,En la actualidad es de suma importancia que las y los estudiantes se formen con una visi�n sobre la edificaci�n sustentable 
200,384,6,19,ENERGIA RENOVABLE EN EDIFICIOS,2,Porque hay temas que no est�n considerados y son relevantes para una comprensi�n integral
201,388,6,19,PROYECTOS SUSTENABLES DE INGENIERIA,1,Cumple con lo requerido.
202,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,NA
203,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,NA
204,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,. 
205,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,Maneja tiempos adecuados para cada tema
206,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,Maneja tiempos adecuados para ver todos los temas
207,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,Maneja tiempos adecuados para ver cada tema
208,389,6,19,LAB. ABASTECIMIENTO DE AGUA POTABLE,1,Considera tiempos adecuados para ver cada tema
209,390,6,19,LAB. INGENIERIA AMBIENTAL I,2,Siempre se pueden hacer mejoras.
210,390,6,19,LAB. INGENIERIA AMBIENTAL I,2,Siempre se pueden hacer mejoras.
211,390,6,19,LAB. INGENIERIA AMBIENTAL I,2,En el caso del laboratorio deber�an establecerse un mayor n�mero de pr�cticas. 
212,390,6,19,LAB. INGENIERIA AMBIENTAL I,2,En el caso del laboratorio deber�an establecerse un mayor n�mero de pr�cticas. 
213,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,Porque complemeta la teor�a
214,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,Porque complementa la teor�a
215,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,Porque complementa la teor�a
216,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,"""Est� bien estructurado, el conocimiento es aditivo. """
217,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,"""Est� bien estructurado, el conocimiento es aditivo. """
218,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,Las practicas de laboratorio son adecuadas ya que refuerza temas que est�n incluidos en el temario de la asignatura te�rica.
219,390,6,19,LAB. INGENIERIA AMBIENTAL I,1,Las practicas de laboratorio son adecuadas ya que refuerza temas que est�n incluidos en el temario de la asignatura te�rica.
220,391,6,19,LAB. TRATAMIENTO DE AGUAS RESIDUALES,2,En el caso del laboratorio deber�an establecerse un mayor n�mero de pr�cticas. 
221,391,6,19,LAB. TRATAMIENTO DE AGUAS RESIDUALES,2,En el caso del laboratorio deber�an establecerse un mayor n�mero de pr�cticas. 
222,391,6,19,LAB. TRATAMIENTO DE AGUAS RESIDUALES,1,Las practicas de laboratorio son adecuadas ya que refuerza temas que est�n incluidos en el temario de la asignatura te�rica.
223,391,6,19,LAB. TRATAMIENTO DE AGUAS RESIDUALES,1,Las practicas de laboratorio son adecuadas ya que refuerza temas que est�n incluidos en el temario de la asignatura te�rica.
224,392,6,19,LAB. ING AMBIENTAL II,2,En el caso del laboratorio deber�an establecerse un mayor n�mero de pr�cticas. 
225,392,6,19,LAB. ING AMBIENTAL II,2,En el caso del laboratorio deber�an establecerse un mayor n�mero de pr�cticas. 
226,392,6,19,LAB. ING AMBIENTAL II,1,Porque las sesiones del Laboratorio funcionan como complemento de la clase te�rica para la formaci�n de los estudiantes
227,392,6,19,LAB. ING AMBIENTAL II,1,Porque las sesiones del Laboratorio funcionan como complemento de la clase te�rica para la formaci�n de los estudiantes
228,392,6,19,LAB. ING AMBIENTAL II,1,Porque las sesiones del Laboratorio funcionan como complemento de la clase te�rica para la formaci�n de los estudiantes.
229,392,6,19,LAB. ING AMBIENTAL II,1,Las practicas de laboratorio son adecuadas ya que refuerza temas que est�n incluidos en el temario de la asignatura te�rica.
230,463,6,24,INGENIERIA DE SISTEMAS I,2,"""Hay que revisar un tema, ya que se repite con el de otra asignatura en el mismo semestre. """
231,463,6,24,INGENIERIA DE SISTEMAS I,1,La cronolog�a del temario es la adecuada
232,463,6,24,INGENIERIA DE SISTEMAS I,1,Se introduce al alumno a la modelaci�n y se les da las aplicaciones del caso
233,463,6,24,INGENIERIA DE SISTEMAS I,1,Se introduce al alumno a la modelaci�n y sus aplicaciones a situaciones reales.
234,463,6,24,INGENIERIA DE SISTEMAS I,1,Totalmente adecuado
235,468,6,24,PLANEACION,1,La cronolog�a del temario es la adecuada
236,468,6,24,PLANEACION,2,Necesita actualizaci�n y definici�n entre Planeaci�n y Planificaci�n.
237,468,6,24,PLANEACION,1,Comprende los temas que considero son los necesarios.
238,464,6,24,INGENIERIA DE SISTEMAS II,1,el tiempo y el contenido son adecuados. 
239,464,6,24,INGENIERIA DE SISTEMAS II,2,Desde mi punto de vista el Ingeniero Civil debe de empezar a tener conocimientos sobre cuestiones de inteligencia de artificial para aprovechar la revoluci�n tecnol�gica que se est� dando actualmente.
240,464,6,24,INGENIERIA DE SISTEMAS II,1,Cubre los objetivos definidos para la asignatura
241,464,6,24,INGENIERIA DE SISTEMAS II,1,Totalmente adecuado
242,464,6,24,INGENIERIA DE SISTEMAS II,1,Totalmente adecuado
243,464,6,24,INGENIERIA DE SISTEMAS II,1,Comprende los temas que considero son los necesarios.
244,467,6,24,INTEGRACION DE PROYECTOS,1,Programa actualizado
245,462,6,24,EVALUACION DE PROYECTOS,2,El contenido del curso es muy amplio.
246,462,6,24,EVALUACION DE PROYECTOS,2,"""Considero que el programa, particularmente en los subtemas 4 y 5, est�n revueltos algunos temas, es decir, corresponden a un subtema y al otro, lo cual hace dif�cil programar las clases. Me refiero a los temas de evaluaci�n financiera y evaluaci�n econ�mica. """
247,465,6,24,INGENIERIA DE TRANSITO,2,orden de los temas
248,465,6,24,INGENIERIA DE TRANSITO,1,Totalmente adecuado
